accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.013,cifar100,9,1,2,100,3072,50000,-0.116,1512
0.026,cifar100,9,1,5,100,3072,50000,-0.116,167
0.028,cifar100,9,1,10,100,3072,50000,-0.116,226
0.023,cifar100,9,1,20,100,3072,50000,-0.116,259
0.024,cifar100,9,1,50,100,3072,50000,-0.116,495
0.062,cifar100,9,2,2,100,3072,50000,-0.116,1384
0.061,cifar100,9,2,5,100,3072,50000,-0.116,145
0.058,cifar100,9,2,10,100,3072,50000,-0.116,234
0.05,cifar100,9,2,20,100,3072,50000,-0.116,282
0.044,cifar100,9,2,50,100,3072,50000,-0.116,565
0.061,cifar100,9,3,2,100,3072,50000,-0.116,1378
0.079,cifar100,9,3,5,100,3072,50000,-0.116,174
0.073,cifar100,9,3,10,100,3072,50000,-0.116,240
0.064,cifar100,9,3,20,100,3072,50000,-0.116,331
0.064,cifar100,9,3,50,100,3072,50000,-0.116,585
0.064,cifar100,9,4,2,100,3072,50000,-0.116,1409
0.087,cifar100,9,4,5,100,3072,50000,-0.116,149
0.085,cifar100,9,4,10,100,3072,50000,-0.116,201
0.061,cifar100,9,4,20,100,3072,50000,-0.116,284
0.072,cifar100,9,4,50,100,3072,50000,-0.116,529
0.062,cifar100,9,5,2,100,3072,50000,-0.116,1619
0.091,cifar100,9,5,5,100,3072,50000,-0.116,151
0.088,cifar100,9,5,10,100,3072,50000,-0.116,208
0.061,cifar100,9,5,20,100,3072,50000,-0.116,303
0.076,cifar100,9,5,50,100,3072,50000,-0.116,558
0.066,cifar100,9,6,2,100,3072,50000,-0.116,1331
0.087,cifar100,9,6,5,100,3072,50000,-0.116,180
0.087,cifar100,9,6,10,100,3072,50000,-0.116,220
0.027,cifar100,9,6,20,100,3072,50000,-0.116,316
0.076,cifar100,9,6,50,100,3072,50000,-0.116,599
0.064,cifar100,9,7,2,100,3072,50000,-0.116,1371
0.091,cifar100,9,7,5,100,3072,50000,-0.116,193
0.076,cifar100,9,7,10,100,3072,50000,-0.116,258
0.014,cifar100,9,7,20,100,3072,50000,-0.116,363
0.067,cifar100,9,7,50,100,3072,50000,-0.116,656
0.067,cifar100,9,8,2,100,3072,50000,-0.116,1310
0.091,cifar100,9,8,5,100,3072,50000,-0.116,189
0.087,cifar100,9,8,10,100,3072,50000,-0.116,255
0.01,cifar100,9,8,20,100,3072,50000,-0.116,360
0.077,cifar100,9,8,50,100,3072,50000,-0.116,671
0.061,cifar100,9,9,2,100,3072,50000,-0.116,1457
0.091,cifar100,9,9,5,100,3072,50000,-0.116,172
0.068,cifar100,9,9,10,100,3072,50000,-0.116,230
0.01,cifar100,9,9,20,100,3072,50000,-0.116,332
0.08,cifar100,9,9,50,100,3072,50000,-0.116,632
0.066,cifar100,9,10,2,100,3072,50000,-0.116,1458
0.094,cifar100,9,10,5,100,3072,50000,-0.116,174
0.013,cifar100,9,10,10,100,3072,50000,-0.116,236
0.01,cifar100,9,10,20,100,3072,50000,-0.116,339
0.081,cifar100,9,10,50,100,3072,50000,-0.116,647
0.067,cifar100,9,11,2,100,3072,50000,-0.116,1495
0.088,cifar100,9,11,5,100,3072,50000,-0.116,176
0.013,cifar100,9,11,10,100,3072,50000,-0.116,242
0.01,cifar100,9,11,20,100,3072,50000,-0.116,351
0.078,cifar100,9,11,50,100,3072,50000,-0.116,672
0.066,cifar100,9,12,2,100,3072,50000,-0.116,1587
0.091,cifar100,9,12,5,100,3072,50000,-0.116,182
0.015,cifar100,9,12,10,100,3072,50000,-0.116,261
0.01,cifar100,9,12,20,100,3072,50000,-0.116,359
0.052,cifar100,9,12,50,100,3072,50000,-0.116,688
0.066,cifar100,9,13,2,100,3072,50000,-0.116,1621
0.089,cifar100,9,13,5,100,3072,50000,-0.116,184
0.065,cifar100,9,13,10,100,3072,50000,-0.116,266
0.01,cifar100,9,13,20,100,3072,50000,-0.116,376
0.019,cifar100,9,13,50,100,3072,50000,-0.116,720
0.065,cifar100,9,14,2,100,3072,50000,-0.116,1790
0.09,cifar100,9,14,5,100,3072,50000,-0.116,186
0.07,cifar100,9,14,10,100,3072,50000,-0.116,266
0.01,cifar100,9,14,20,100,3072,50000,-0.116,378
0.011,cifar100,9,14,50,100,3072,50000,-0.116,733
0.065,cifar100,9,15,2,100,3072,50000,-0.116,1669
0.089,cifar100,9,15,5,100,3072,50000,-0.116,190
0.033,cifar100,9,15,10,100,3072,50000,-0.116,288
0.012,cifar100,9,15,20,100,3072,50000,-0.116,387
0.014,cifar100,9,15,50,100,3072,50000,-0.116,753
0.065,cifar100,9,16,2,100,3072,50000,-0.116,1950
0.089,cifar100,9,16,5,100,3072,50000,-0.116,208
0.01,cifar100,9,16,10,100,3072,50000,-0.116,296
0.01,cifar100,9,16,20,100,3072,50000,-0.116,427
0.009,cifar100,9,16,50,100,3072,50000,-0.116,803
0.068,cifar100,9,17,2,100,3072,50000,-0.116,2022
0.089,cifar100,9,17,5,100,3072,50000,-0.116,209
0.076,cifar100,9,17,10,100,3072,50000,-0.116,296
0.01,cifar100,9,17,20,100,3072,50000,-0.116,432
0.011,cifar100,9,17,50,100,3072,50000,-0.116,824
0.068,cifar100,9,18,2,100,3072,50000,-0.116,2033
0.086,cifar100,9,18,5,100,3072,50000,-0.116,196
0.012,cifar100,9,18,10,100,3072,50000,-0.116,284
0.011,cifar100,9,18,20,100,3072,50000,-0.116,421
0.01,cifar100,9,18,50,100,3072,50000,-0.116,818
